evaluation_id,category,score,model_version,date
1,reasoning,17.18,claude-3-opus,2025-12-19
2,reasoning,53.62,claude-3-opus,2025-12-19
3,reasoning,27.9,gpt-4-turbo,2025-12-19
4,reasoning,30.55,gpt-3.5-turbo,2025-12-19
5,reasoning,66.42,claude-3-opus,2025-12-19
6,reasoning,38.12,gpt-4,2025-12-19
7,reasoning,65.82,claude-3-opus,2025-12-19
8,reasoning,63.54,gpt-3.5-turbo,2025-12-19
9,reasoning,7.44,claude-3-opus,2025-12-19
10,reasoning,41.17,gpt-4,2025-12-19
11,reasoning,41.98,gpt-4,2025-12-19
12,knowledge,61.22,gpt-3.5-turbo,2025-12-19
13,knowledge,79.85,gpt-3.5-turbo,2025-12-19
14,knowledge,84.29,gpt-4-turbo,2025-12-19
15,knowledge,86.79,gpt-4-turbo,2025-12-19
16,knowledge,17.02,gpt-3.5-turbo,2025-12-19
17,knowledge,80.78,claude-3-opus,2025-12-19
18,knowledge,47.97,gpt-3.5-turbo,2025-12-19
19,knowledge,77.29,gpt-4-turbo,2025-12-19
20,knowledge,67.46,claude-3-opus,2025-12-19
21,knowledge,100.0,gpt-3.5-turbo,2025-12-19
22,knowledge,71.19,gpt-4-turbo,2025-12-19
23,knowledge,65.19,gpt-4,2025-12-19
24,knowledge,33.18,gpt-4,2025-12-19
25,knowledge,33.12,gpt-4-turbo,2025-12-19
26,knowledge,52.23,gpt-3.5-turbo,2025-12-19
27,code,79.05,gpt-3.5-turbo,2025-12-19
28,code,29.39,gpt-4,2025-12-19
29,code,85.12,gpt-3.5-turbo,2025-12-19
30,code,48.6,gpt-4,2025-12-19
31,code,54.91,claude-3-opus,2025-12-19
32,code,48.5,claude-3-opus,2025-12-19
33,code,30.95,claude-3-opus,2025-12-19
34,code,38.18,gpt-3.5-turbo,2025-12-19
35,code,7.95,gpt-3.5-turbo,2025-12-19
36,code,63.75,gpt-4,2025-12-19
37,code,25.7,gpt-3.5-turbo,2025-12-19
38,code,69.76,gpt-4,2025-12-19
39,code,83.47,gpt-4,2025-12-19
40,code,22.42,gpt-4,2025-12-19
41,code,60.81,gpt-4-turbo,2025-12-19
42,instruction_following,81.93,claude-3-opus,2025-12-19
43,instruction_following,82.17,gpt-3.5-turbo,2025-12-19
44,instruction_following,55.71,gpt-3.5-turbo,2025-12-19
45,instruction_following,33.92,claude-3-opus,2025-12-19
46,instruction_following,62.49,claude-3-opus,2025-12-19
47,instruction_following,51.28,gpt-3.5-turbo,2025-12-19
48,instruction_following,49.98,gpt-4-turbo,2025-12-19
49,tool_calling,59.54,gpt-4,2025-12-19
50,tool_calling,55.89,claude-3-opus,2025-12-19
51,tool_calling,66.74,gpt-4-turbo,2025-12-19
52,tool_calling,42.79,gpt-4-turbo,2025-12-19
53,tool_calling,46.87,gpt-4-turbo,2025-12-19
54,tool_calling,11.76,gpt-4,2025-12-19
55,tool_calling,84.53,gpt-4-turbo,2025-12-19
56,tool_calling,94.18,gpt-4,2025-12-19
57,tool_calling,13.59,gpt-4-turbo,2025-12-19
58,tool_calling,36.43,claude-3-opus,2025-12-19
59,tool_calling,62.58,claude-3-opus,2025-12-19
60,tool_calling,61.05,gpt-4,2025-12-19
61,reasoning,42.13,gpt-4-turbo,2025-12-20
62,reasoning,40.8,gpt-4,2025-12-20
63,reasoning,64.57,claude-3-opus,2025-12-20
64,reasoning,73.06,gpt-4,2025-12-20
65,reasoning,56.92,claude-3-opus,2025-12-20
66,reasoning,49.97,claude-3-opus,2025-12-20
67,reasoning,73.05,claude-3-opus,2025-12-20
68,reasoning,42.24,gpt-3.5-turbo,2025-12-20
69,knowledge,65.86,gpt-4-turbo,2025-12-20
70,knowledge,28.56,gpt-3.5-turbo,2025-12-20
71,knowledge,33.74,gpt-4,2025-12-20
72,knowledge,52.55,gpt-4-turbo,2025-12-20
73,knowledge,80.64,claude-3-opus,2025-12-20
74,knowledge,89.66,claude-3-opus,2025-12-20
75,knowledge,82.63,gpt-4-turbo,2025-12-20
76,knowledge,62.04,gpt-4,2025-12-20
77,knowledge,68.55,gpt-4-turbo,2025-12-20
78,knowledge,87.83,gpt-3.5-turbo,2025-12-20
79,knowledge,83.66,claude-3-opus,2025-12-20
80,knowledge,52.9,claude-3-opus,2025-12-20
81,knowledge,34.48,claude-3-opus,2025-12-20
82,code,78.54,gpt-3.5-turbo,2025-12-20
83,code,73.22,gpt-4-turbo,2025-12-20
84,code,48.45,gpt-4-turbo,2025-12-20
85,code,47.11,gpt-4,2025-12-20
86,code,67.02,gpt-4-turbo,2025-12-20
87,code,45.42,gpt-4,2025-12-20
88,code,59.93,gpt-4-turbo,2025-12-20
89,code,36.43,gpt-4-turbo,2025-12-20
90,code,68.57,gpt-4-turbo,2025-12-20
91,instruction_following,42.67,gpt-4-turbo,2025-12-20
92,instruction_following,77.52,gpt-3.5-turbo,2025-12-20
93,instruction_following,84.63,claude-3-opus,2025-12-20
94,instruction_following,91.74,gpt-4-turbo,2025-12-20
95,instruction_following,97.87,gpt-4,2025-12-20
96,instruction_following,31.53,gpt-4,2025-12-20
97,tool_calling,38.27,gpt-3.5-turbo,2025-12-20
98,tool_calling,61.86,gpt-4-turbo,2025-12-20
99,tool_calling,35.09,gpt-3.5-turbo,2025-12-20
100,tool_calling,44.07,gpt-4,2025-12-20
101,tool_calling,84.19,claude-3-opus,2025-12-20
102,tool_calling,43.5,gpt-3.5-turbo,2025-12-20
103,tool_calling,59.62,claude-3-opus,2025-12-20
104,tool_calling,26.59,claude-3-opus,2025-12-20
105,tool_calling,33.52,gpt-4,2025-12-20
106,tool_calling,59.21,gpt-3.5-turbo,2025-12-20
107,tool_calling,17.58,gpt-3.5-turbo,2025-12-20
108,tool_calling,32.45,gpt-3.5-turbo,2025-12-20
109,tool_calling,56.86,gpt-4-turbo,2025-12-20
110,tool_calling,84.55,gpt-3.5-turbo,2025-12-20
111,reasoning,37.07,gpt-4-turbo,2025-12-21
112,reasoning,18.11,gpt-4-turbo,2025-12-21
113,reasoning,51.62,gpt-4,2025-12-21
114,reasoning,60.58,gpt-4,2025-12-21
115,reasoning,39.32,claude-3-opus,2025-12-21
116,knowledge,80.58,gpt-3.5-turbo,2025-12-21
117,knowledge,49.93,gpt-4-turbo,2025-12-21
118,knowledge,72.72,gpt-3.5-turbo,2025-12-21
119,knowledge,51.62,gpt-4,2025-12-21
120,knowledge,84.57,claude-3-opus,2025-12-21
121,knowledge,63.15,gpt-3.5-turbo,2025-12-21
122,knowledge,66.86,gpt-3.5-turbo,2025-12-21
123,code,77.63,claude-3-opus,2025-12-21
124,code,43.86,gpt-3.5-turbo,2025-12-21
125,code,11.81,claude-3-opus,2025-12-21
126,code,17.2,gpt-4-turbo,2025-12-21
127,code,65.58,claude-3-opus,2025-12-21
128,code,33.41,gpt-4-turbo,2025-12-21
129,code,35.31,claude-3-opus,2025-12-21
130,code,59.82,claude-3-opus,2025-12-21
131,code,30.1,gpt-4-turbo,2025-12-21
132,code,31.53,claude-3-opus,2025-12-21
133,code,35.39,gpt-4,2025-12-21
134,code,35.79,claude-3-opus,2025-12-21
135,instruction_following,77.29,gpt-3.5-turbo,2025-12-21
136,instruction_following,46.33,claude-3-opus,2025-12-21
137,instruction_following,75.1,gpt-4-turbo,2025-12-21
138,instruction_following,61.61,gpt-3.5-turbo,2025-12-21
139,instruction_following,67.77,gpt-4,2025-12-21
140,instruction_following,37.7,gpt-4,2025-12-21
141,instruction_following,75.17,claude-3-opus,2025-12-21
142,instruction_following,74.39,claude-3-opus,2025-12-21
143,instruction_following,88.66,gpt-4-turbo,2025-12-21
144,instruction_following,84.66,gpt-4-turbo,2025-12-21
145,instruction_following,100.0,gpt-4,2025-12-21
146,tool_calling,36.42,gpt-4-turbo,2025-12-21
147,tool_calling,78.32,gpt-3.5-turbo,2025-12-21
148,tool_calling,85.57,gpt-4,2025-12-21
149,tool_calling,67.75,gpt-4,2025-12-21
150,tool_calling,23.4,gpt-3.5-turbo,2025-12-21
151,reasoning,69.26,gpt-4-turbo,2025-12-22
